Fitness ; Time Finish ; Total Salary ; Total Exper 
0.36815899298160004;565;70940 ;6799
0.36815899298160004;565;70940 ;6799
0.36815899298160004;565;70940 ;6799
0.36800213337095694;565;70870 ;6800
0.36705056503372857;565;70945 ;6807
0.36705056503372857;565;70945 ;6807
0.36705056503372857;565;70945 ;6807
0.3666979229565946;565;71190 ;6810
0.365921912237317;562;70450 ;6803
0.3658982432319028;564;70640 ;6811
0.3658982432319028;564;70640 ;6811
0.3650040401157444;562;70655 ;6810
0.3650040401157444;562;70655 ;6810
0.3643326652122034;561;70600 ;6811
0.36396593747188744;560;70650 ;6810
0.36376450229506185;563;70830 ;6823
0.36271360999631747;560;70635 ;6819
0.36271360999631747;560;70635 ;6819
0.36224562318097714;560;70435 ;6822
0.36224562318097714;560;70435 ;6822
0.3618202342112967;561;70540 ;6829
0.3618202342112967;561;70540 ;6829
0.3600900205311876;558;70400 ;6830
0.3600900205311876;558;70400 ;6830
0.3600900205311876;558;70400 ;6830
0.3600900205311876;558;70400 ;6830
0.3600900205311876;558;70400 ;6830
0.3600900205311876;558;70400 ;6830
0.35982312803655875;557;70300 ;6828
0.3588637836495637;557;70345 ;6835
0.3588637836495637;557;70345 ;6835
0.35827764704435683;558;70365 ;6843
0.35827764704435683;558;70365 ;6843
0.35827764704435683;558;70365 ;6843
0.35827764704435683;558;70365 ;6843
0.3580028080719042;558;70375 ;6845
0.3580028080719042;558;70375 ;6845
0.3572004937236093;557;70350 ;6847
0.3572004937236093;557;70350 ;6847
0.3572004937236093;557;70350 ;6847
0.3572004937236093;557;70350 ;6847
0.3570382796517314;558;70400 ;6852
0.35689956415721064;558;70400 ;6853
0.3566378556957596;557;70320 ;6851
0.3566378556957596;557;70320 ;6851
0.3566378556957596;557;70320 ;6851
0.35619319702971947;557;70210 ;6854
0.35619319702971947;557;70210 ;6854
0.35619319702971947;557;70210 ;6854
0.35578093857104054;557;70225 ;6857
0.3552312606261354;557;70245 ;6861
0.3552312606261354;557;70245 ;6861
0.3552312606261354;557;70245 ;6861
0.3552312606261354;557;70245 ;6861
0.3547269429715362;557;70440 ;6865
0.3547269429715362;557;70440 ;6865
0.3547269429715362;557;70440 ;6865
0.3547269429715362;557;70440 ;6865
0.3547269429715362;557;70440 ;6865
0.3547269429715362;557;70440 ;6865
0.35440544770048327;557;70270 ;6867
0.35440544770048327;557;70270 ;6867
0.35387520987999493;557;70365 ;6871
0.35387520987999493;557;70365 ;6871
0.3537105742195851;557;70265 ;6872
0.35344739932178265;557;70320 ;6874
0.3530338448548094;557;70330 ;6877
0.3530338448548094;557;70330 ;6877
0.3530338448548094;557;70330 ;6877
0.35288994532711077;557;70310 ;6878
0.3526243488407764;556;70215 ;6876
0.3526243488407764;556;70215 ;6876
